0,Tokyo,35.689500,139.691710,0.000000,-3954843.592378,3354935.154958,3700263.820217
1,Delhi,28.666670,77.216670,0.000000,1239227.233093,5461834.040626,3041536.573362
2,Shanghai,31.222220,121.458060,0.000000,-2849046.996683,4656870.262308,3286986.751947
3,São-Paulo,-23.547500,-46.636110,0.000000,4016884.413346,-4253102.280352,-2532418.944537
4,Mumbai-(Bombay),19.073975,72.880838,0.000000,1775024.409639,5762948.394748,2071089.571952
5,Ciudad-de-México-(Mexico-City),19.427318,-99.141869,0.000000,-956013.259084,-5940788.312317,2108015.826874
6,Beijing,39.907500,116.397230,0.000000,-2178189.628682,4388467.259356,4070111.420547
7,Kinki-M.M.A.-(Osaka),34.675834,135.553823,0.000000,-3748711.554631,3676932.782387,3608349.262864
8,Al-Qahirah-(Cairo),30.039173,31.239411,0.000000,4724843.145927,2865910.587720,3174132.831160
9,New-York-Newark,40.717042,-74.003663,0.000000,1334103.172127,-4653693.528901,4138656.197504
10,Dhaka,23.710400,90.407440,0.000000,-41549.625564,5842769.626778,2548947.975045
11,Karachi,24.905600,67.082200,0.000000,2254070.750009,5331511.452239,2669592.977412
12,Buenos-Aires,-34.605083,-58.400368,0.000000,2753742.582969,-4476209.103195,-3601891.870081
13,Kolkata-(Calcutta),22.533455,88.356045,0.000000,169092.840058,5891674.215633,2429078.655825
14,Istanbul,41.013800,28.949700,0.000000,4217352.684891,2332879.103760,4163578.605821
15,Chongqing,29.562780,106.552780,0.000000,-1581849.527589,5322225.908964,3128308.696599
16,Lagos,6.453060,3.395830,0.000000,6326864.177950,375422.898833,712064.787620
17,Manila,14.604200,120.982200,0.000000,-3177879.424386,5292603.275242,1597759.166873
18,Rio-de-Janeiro,-22.902780,-43.207500,0.000000,4284573.241489,-4024537.642061,-2466804.550393
19,Guangzhou--Guangdong,23.125457,113.257374,0.000000,-2317313.016439,5391778.733951,2489501.977608
